Unnamed: 0,distance,MAX_Process_20240220_JC002_square_48hr_row7_02-1.tif,MAX_Process_20240220_JC002_square_48hr_row7_03-1.tif,MAX_Process_20240220_JC002_square_48hr_row7_01-1.tif,Maxproj_20260521_J29_20X_square_48hr_350um_04.tif.tif,Maxproj_20260521_J29_20X_square_48hr_350um_05.tif.tif,Maxproj_20260521_J29_20X_square_48hr_350um_06.tif.tif,Maxproj_20260521_J29_20X_square_48hr_350um_03.tif.tif,Maxproj_20260521_J29_20X_square_48hr_350um_02.tif.tif,Maxproj_20260521_J29_20X_square_48hr_350um_01.tif.tif
0,0.1,1.0,1.0,0.9797121720099008,1.0,1.0,1.0,1.0,1.0,1.0
1,0.2,0.894400871412396,0.9304776112347468,0.9585189683923788,0.4875464308619877,0.622588991995421,0.6480414169438536,0.5043532183351496,0.4796386627965952,0.4832693878944973
2,0.3,0.7583154061679581,0.7727556435495976,0.9274087910168276,0.3712497752463309,0.3522565346091875,0.4219772074662146,0.3851039790014185,0.4308569473105697,0.25532309566462347
3,0.4,0.6579152584331682,0.6380938469217518,1.0,0.4637053240834793,0.3269211752921758,0.3993585154376812,0.488966203435272,0.4573458664871634,0.3288183751821698
4,0.5,0.5773619607908953,0.5671077324055555,0.6561976327257589,0.5011268258960784,0.304193377315097,0.3991112328359881,0.4446911773958029,0.3797625267144627,0.36348133674639105
5,0.6000000000000001,0.4529298449347849,0.4473840799292274,0.420191087578412,0.4493105637604138,0.2948453702388211,0.3328784880184682,0.4013719434984157,0.2709018737092933,0.27360615231908925
6,0.7000000000000001,0.2355632792566043,0.3027037982904637,0.3323625837055391,0.4074379476585902,0.2309647682379025,0.2272826440326731,0.3055859990584212,0.2017543945651293,0.1825741656825893
7,0.8,0.1192237220989571,0.1440125938743133,0.1833493605853479,0.2667100086774416,0.1189163219595101,0.129135577558748,0.1439217374936334,0.0841142112729503,0.021677808202268445
8,0.9,0.067692811277443,0.0,0.0572157639330195,0.0913592804183421,0.0546881744772692,0.0283342988096349,0.0684365751206535,0.0125909165337585,0.013308380466530658
9,1.0,0.0,0.0040895194034391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
