,radius,MAX_Process_20240814_JC004_circle_CTRL_48hr_30X_350_01-1.tif,MAX_Process_20240814_JC004_circle_CTRL_48hr_30X_350_03-1.tif,MAX_Process_20240814_JC004_circle_CTRL_48hr_30X_350_04-1.tif,MAX_Process_20240814_JC004_circle_CTRL_48hr_30X_350_02-1.tif
0,0.1,0.09694517255813083,0.07663952288040767,0.06397731549662576,0.09610370493372541
1,0.2,0.0925728894058347,0.09187759864552521,0.07692638123629364,0.09983053638510409
2,0.30000000000000004,0.1269623677938139,0.09233667778462683,0.0803417922548193,0.1247870504484097
3,0.4,0.2968062568791077,0.09518025759762774,0.08713056005194772,0.275633922711081
4,0.5,0.35575433443849974,0.11098025989910341,0.10530832663645462,0.43339754218913906
5,0.6000000000000001,0.46885405363077426,0.23385940947787656,0.23584575551095008,0.5242790338925369
6,0.7000000000000001,0.53041535166952,0.47447826109234653,0.4150622359663857,0.6003736438183896
7,0.8,0.6616001781380846,0.653069165498686,0.5794939569630688,0.7146038088604223
8,0.9,0.7797179337670422,0.8205792878311986,0.6925936498935104,0.9401823523434113
9,1.0,1.0,1.0,1.0,1.0
